Title,Author,Tropes
Once Upon a Boy Band,Jenny Proctor,"Slowburn, Closed Door"
"Dear Henry, Love Edith",Becca Kinzer,"Slowburn, Closed Door"
West of Port,Carina Taylor,"Slowburn, Closed Door"
Pickleballers,Ilana Long,"Enemies to More, Closed Door"
Never With You,Kortney Keisel,"Enemies to More, Closed Door"
Powerless,Lauren Roberts,"Enemies to More, Closed Door"
The Love Haters,Katherine Center,"Grumpy/Sunshine, Closed Door"
Girl Meets Grump,Hailey Gardiner,"Grumpy/Sunshine, Closed Door"
Off the Beaten Path,Madison Wright,"Grumpy/Sunshine, Closed Door"
The One With the Kiss Cam,Cindy Steel,"Forced Proximity, Closed Door"
Not Boyfriend Material,Becky Monson,"Forced Proximity, Closed Door"
The Perfect Putt,Annah Conwell,"Forced Proximity, Closed Door"
Playing the Field,Grayson Long,"Friends to More, Closed Door"
The Perfect Rom Com,Melissa Ferguson,"Friends to More, Closed Door"
The Magic of Light,Jordan Abitz,"Friends to More, Closed Door"
Same Time Next Summer,Annabel Monaghan,"Second Chance, Closed Door"
The Blooms That Broke Us,Ashley Dill,"Second Chance, Closed Door"
Rock and a Hard Place,Juliana Smith,"Second Chance, Closed Door"
It's Always Us,Stacy Williams,"Football, Closed Door"
Just Like Home,Courtney Walsh,"Football, Closed Door"
Where You Belong,Stacy Williams,"Football, Closed Door"
Home Safe,Tracy Baeck,"Baseball, Closed Door"
Home Run Heart,Hailey Gardiner,"Baseball, Closed Door"
The Light We Lost,Marae Good,"Baseball, Closed Door"
We Redeemed the Rain,Ashley Dill,"Cowboy, Closed Door"
Bring Me Home,Ashley Weston,"Cowboy, Closed Door"
Wildflower Falls,Denise Hunter,"Cowboy, Closed Door"
The Rom-Comers,Katherine Center,"He Takes Care of Her, Closed Door"
What You Wish For,Katherine Center,"He Takes Care of Her, Closed Door"
Secret or Shutout,Leah Brunner,"He Takes Care of Her, Closed Door"
If All Else Sails,Emma St. Clair,"Brother's Best Friend, Closed Door"
All's Fair in Love and Blackmail,Gracie Ruth Mitchell,"Brother's Best Friend, Closed Door"
"Signed, Sealed, Delivered",Juliana Smith,"Brother's Best Friend, Closed Door"
Summer Ever After,Kortney Keisel,"Best Friend's Brother, Closed Door"
Best for Last,Baleigh Jayne,"Best Friend's Brother, Closed Door"
For the Record,Juliana Smith,"Best Friend's Brother, Closed Door"
The Buy-In,Emma St. Clair,"Marriage of Convenience, Closed Door"
I Got You,Stacy Williams,"Marriage of Convenience, Closed Door"
The Run Option,Annah Conwell,"Marriage of Convenience, Closed Door"
The Bodyguard,Katherine Center,"Fake Dating, Closed Door"
The Dating Game,Heather Miekstyn,"Fake Dating, Closed Door"
How Jenna Became My Dilemma,Kortney Keisel,"Fake Dating, Closed Door"
Everything's Coming Up Rosie,Courtney Walsh,"Strangers to Friends to More, Closed Door"
The Heart Shot,Emily Schneider,"Strangers to Friends to More, Closed Door"
Snowed Under,Juliana Smith,"Strangers to Friends to More, Closed Door"
Carry Me Away,Ashley Weston,"Childhood Friends to More, Closed Door"
Rebel Summer,Cindy Steel,"Childhood Friends to More, Closed Door"
If I Never Remember,Meagan Williamson,"Childhood Friends to More, Closed Door"
The Burns We Carry,Marae Good,"Small Town, Closed Door"
"Raine, Raine, Run Away",India Tungate,"Small Town, Closed Door"
One Last Thing,Susan Henshaw,"Small Town, Closed Door"
Three Days to Forget,Dulcie Dameron,"Age Gap, Closed Door"
Just Haven't Met You Yet,Sophie Cousens,"Age Gap, Closed Door"
The Double Play,Annah Conwell,"Age Gap, Closed Door"
